[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\test\java\org\jfree\chart\plot, plot, 6330, 1337, 0.21121642969984203]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\test\java\org\jfree\chart\renderer\category, category, 3728, 1021, 0.2738733905579399]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\test\java\org\jfree\chart\renderer\xy, xy, 4784, 1351, 0.2823996655518395]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\test\java\org\jfree\chart\renderer, renderer, 1640, 451, 0.275]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\test\java\org\jfree\chart\swing, swing, 413, 97, 0.23486682808716708]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\test\java\org\jfree\chart\text\format, format, 341, 121, 0.3548387096774194]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\test\java\org\jfree\chart\title, title, 663, 319, 0.48114630467571645]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\test\java\org\jfree\chart\urls, urls, 771, 294, 0.38132295719844356]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\test\java\org\jfree\chart, chart, 3778, 1064, 0.28163049232398096]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\test\java\org\jfree\data\category, category, 1181, 239, 0.20237087214225233]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\test\java\org\jfree\data\flow, flow, 276, 122, 0.4420289855072464]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\test\java\org\jfree\data\function, function, 380, 164, 0.43157894736842106]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\test\java\org\jfree\data\gantt, gantt, 1063, 243, 0.22859830667920977]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\test\java\org\jfree\data\general, general, 2517, 484, 0.19229241160111243]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\test\java\org\jfree\data\statistics, statistics, 2284, 607, 0.2657618213660245]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\test\java\org\jfree\data\time\ohlc, ohlc, 657, 192, 0.2922374429223744]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\test\java\org\jfree\data\time, time, 7087, 1296, 0.18287004374206292]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\test\java\org\jfree\data\xy, xy, 5887, 1628, 0.2765415321895702]
[C:\Users\yanna\OneDrive\Documents\GitHub\IFT3913_TP1\jfreechart\src\test\java\org\jfree\data, data, 2819, 728, 0.25824760553387727]
