Complexity metrics,mar., 25 oct. 2022 00:22:40 EDT
Method,CogC,ev(G),iv(G),v(G)
org.jfree.chart.JFreeChart.setBorderStroke(Stroke),0,1,1,1
org.jfree.chart.JFreeChart.setBorderVisible(boolean),0,1,1,1
org.jfree.chart.JFreeChart.setElementHinting(boolean),0,1,1,1
org.jfree.chart.JFreeChart.setID(String),0,1,1,1
org.jfree.chart.JFreeChart.setNotify(boolean),1,1,2,2
org.jfree.chart.JFreeChart.setPadding(RectangleInsets),0,1,1,1
org.jfree.chart.JFreeChart.setRenderingHints(RenderingHints),0,1,1,1
org.jfree.chart.JFreeChart.setSubtitles(List<Title>),3,1,3,3
org.jfree.chart.JFreeChart.setTextAntiAlias(Object),0,1,1,1
org.jfree.chart.JFreeChart.setTextAntiAlias(boolean),2,1,2,2
org.jfree.chart.JFreeChart.setTitle(String),5,1,3,3
org.jfree.chart.JFreeChart.setTitle(TextTitle),2,1,3,3
org.jfree.chart.JFreeChart.titleChanged(TitleChangeEvent),0,1,1,1
org.jfree.chart.JFreeChart.writeObject(ObjectOutputStream),0,1,1,1
org.jfree.chart.JFreeChartTest.chartChanged(ChartChangeEvent),0,1,1,1
org.jfree.chart.JFreeChartTest.setUp(),0,1,1,1
org.jfree.chart.JFreeChartTest.testAddSubtitle(),3,1,4,4
org.jfree.chart.JFreeChartTest.testBug942(),0,1,1,1
org.jfree.chart.JFreeChartTest.testEquals(),0,1,1,1
org.jfree.chart.JFreeChartTest.testEquals2(),0,1,1,1
org.jfree.chart.JFreeChartTest.testGetSubtitle(),3,1,4,4
org.jfree.chart.JFreeChartTest.testGetSubtitles(),0,1,1,1
org.jfree.chart.JFreeChartTest.testLegendEvents(),0,1,1,1
org.jfree.chart.JFreeChartTest.testSerialization1(),0,1,1,1
org.jfree.chart.JFreeChartTest.testSerialization2(),0,1,1,1
org.jfree.chart.JFreeChartTest.testSerialization3(),0,1,1,1
org.jfree.chart.JFreeChartTest.testSubtitleCount(),0,1,1,1
org.jfree.chart.JFreeChartTest.testTitleChangeEvent(),0,1,1,1
org.jfree.chart.LegendItemCollectionTest.testCloning(),0,1,1,1
org.jfree.chart.LegendItemCollectionTest.testEquals(),0,1,1,1
org.jfree.chart.LegendItemCollectionTest.testSerialization(),0,1,1,1
org.jfree.chart.LegendItemTest.testCloning(),0,1,1,1
org.jfree.chart.LegendItemTest.testEquals(),0,1,1,1
org.jfree.chart.LegendItemTest.testSerialization(),0,1,1,1
org.jfree.chart.LegendItemTest.testSerialization2(),0,1,1,1
org.jfree.chart.LineChartTest.LocalListener.chartChanged(ChartChangeEvent),0,1,1,1
org.jfree.chart.LineChartTest.createLineChart(),0,1,1,1
org.jfree.chart.LineChartTest.setUp(),0,1,1,1
org.jfree.chart.LineChartTest.testDrawWithNullInfo(),0,1,1,1
org.jfree.chart.LineChartTest.testReplaceDataset(),0,1,1,1
org.jfree.chart.LineChartTest.testSetSeriesToolTipGenerator(),0,1,1,1
org.jfree.chart.LineChartTest.testSetSeriesURLGenerator(),0,1,1,1
org.jfree.chart.MeterChartTest.testDrawWithNullInfo(),0,1,1,1
org.jfree.chart.PieChartTest.LocalListener.chartChanged(ChartChangeEvent),0,1,1,1
org.jfree.chart.PieChartTest.createPieChart(),0,1,1,1
org.jfree.chart.PieChartTest.setUp(),0,1,1,1
org.jfree.chart.PieChartTest.testReplaceDatasetOnPieChart(),0,1,1,1
org.jfree.chart.ScatterPlotTest.LocalListener.chartChanged(ChartChangeEvent),0,1,1,1
org.jfree.chart.ScatterPlotTest.createChart(),0,1,1,1
org.jfree.chart.ScatterPlotTest.setUp(),0,1,1,1
org.jfree.chart.ScatterPlotTest.testDrawWithNullInfo(),1,1,2,2
org.jfree.chart.ScatterPlotTest.testReplaceDataset(),0,1,1,1
org.jfree.chart.ScatterPlotTest.testSetSeriesToolTipGenerator(),0,1,1,1
