Chidamber-Kemerer metrics,lun., 24 oct. 2022 22:54:29 EDT
Class,CBO,DIT,LCOM,NOC,RFC,WMC
org.jfree.chart.labels.BoxAndWhiskerToolTipGeneratorTest,5,0,5,0,16,5
org.jfree.chart.labels.BoxAndWhiskerXYToolTipGenerator,8,2,1,0,17,8
org.jfree.chart.labels.BoxAndWhiskerXYToolTipGeneratorTest,4,0,5,0,16,5
org.jfree.chart.labels.BubbleXYItemLabelGenerator,9,1,1,0,25,19
org.jfree.chart.labels.BubbleXYItemLabelGeneratorTest,6,0,6,0,22,6
org.jfree.chart.labels.CategoryItemLabelGenerator,n/a,n/a,n/a,n/a,3,n/a
org.jfree.chart.labels.CategorySeriesLabelGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.CategoryToolTipGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.CrosshairLabelGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.CustomXYItemLabelGeneratorTest,4,0,3,0,11,3
org.jfree.chart.labels.CustomXYToolTipGenerator,4,0,1,0,8,18
org.jfree.chart.labels.FlowLabelGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.HighLowItemLabelGenerator,10,0,2,0,13,21
org.jfree.chart.labels.HighLowItemLabelGeneratorTest,4,0,5,0,16,5
org.jfree.chart.labels.IntervalCategoryItemLabelGenerator,10,2,1,0,13,9
org.jfree.chart.labels.IntervalCategoryItemLabelGeneratorTest,5,0,5,0,15,5
org.jfree.chart.labels.IntervalCategoryToolTipGenerator,8,2,1,0,17,13
org.jfree.chart.labels.IntervalCategoryToolTipGeneratorTest,5,0,6,0,16,6
org.jfree.chart.labels.IntervalXYItemLabelGenerator,7,1,2,0,33,21
org.jfree.chart.labels.IntervalXYToolTipGenerator,6,1,2,0,33,21
org.jfree.chart.labels.ItemLabelAnchor,10,n/a,2,n/a,2,0
org.jfree.chart.labels.ItemLabelAnchorTest,2,0,1,0,6,2
org.jfree.chart.labels.ItemLabelPosition,18,0,4,0,10,15
org.jfree.chart.labels.ItemLabelPositionTest,2,0,2,0,5,2
org.jfree.chart.labels.MultipleXYSeriesLabelGenerator,7,0,1,0,13,19
org.jfree.chart.labels.MultipleXYSeriesLabelGeneratorTest,4,0,5,0,17,5
org.jfree.chart.labels.PieSectionLabelGenerator,n/a,n/a,n/a,n/a,2,n/a
org.jfree.chart.labels.PieToolTipGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.StandardCategoryItemLabelGenerator,12,1,1,1,12,9
org.jfree.chart.labels.StandardCategoryItemLabelGeneratorTest,6,0,7,0,21,7
org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,9,0,1,0,10,10
org.jfree.chart.labels.StandardCategorySeriesLabelGeneratorTest,5,0,6,0,21,6
org.jfree.chart.labels.StandardCategoryToolTipGenerator,21,1,1,2,10,8
org.jfree.chart.labels.StandardCategoryToolTipGeneratorTest,5,0,6,0,16,6
org.jfree.chart.labels.StandardCrosshairLabelGenerator,4,0,1,0,9,11
org.jfree.chart.labels.StandardFlowLabelGenerator,7,0,1,0,10,7
org.jfree.chart.labels.StandardFlowLabelGeneratorTest,2,0,2,0,5,2
org.jfree.chart.labels.StandardPieSectionLabelGenerator,9,1,2,0,18,15
org.jfree.chart.labels.StandardPieSectionLabelGeneratorTest,4,0,5,0,17,5
org.jfree.chart.labels.StandardPieToolTipGenerator,7,1,1,0,10,7
org.jfree.chart.labels.StandardPieToolTipGeneratorTest,5,0,5,0,18,5
